,ridership,Austin,Quincy_Wells,Belmont,Archer_35th,Oak_Park,Western,Clark_Lake,Clinton,Merchandise_Mart,Irving_Park,Washington_Wells,Harlem,Monroe,Polk,Ashland,Kedzie,Addison,Jefferson_Park,Montrose,California,temp_min,temp,temp_max,temp_change,dew,humidity,pressure,pressure_change,wind,wind_max,gust,gust_max,percip,percip_max,weather_rain,weather_snow,weather_cloud,weather_storm,Blackhawks_Away,Blackhawks_Home,Bulls_Away,Bulls_Home,Bears_Away,Bears_Home,WhiteSox_Away,WhiteSox_Home,Cubs_Away,Cubs_Home
0,15.732,1.463,8.371,4.599,2.009,1.421,3.319,15.561,2.403,6.481,3.744,7.56,2.655,5.672,2.481,1.319,3.013,2.5,6.595,1.836,0.756,15.1,19.45,30.0,14.9,13.45,78.0,30.43,0.119999999999997,5.2,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.708333333333333,0.0,0,0,0,0,0,0,0,0,0,0
1,15.762,1.505,8.351,4.725,2.088,1.429,3.344,15.72,2.402,6.477,3.853,7.576,2.76,6.013,2.436,1.314,3.02,2.57,6.75,1.915,0.781,25.0,30.45,36.0,11.0,25.0,79.0,30.19,0.18,8.1,11.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.208333333333333,0,0,0,1,0,0,0,0,0,0
2,15.872,1.519,8.359,4.684,2.108,1.488,3.363,15.558,2.367,6.405,3.861,7.62,2.789,5.786,2.526,1.324,2.982,2.587,6.967,1.977,0.812,19.0,25.0,28.9,9.9,18.0,81.0,30.16,0.229999999999997,10.4,19.6,0.0,0.0,0.0,0.0,0.0,0.214285714285714,0.357142857142857,0.0714285714285714,0,0,1,0,0,0,0,0,0,0
3,15.874,1.49,7.852,4.769,2.166,1.445,3.359,15.745,2.415,6.489,3.843,7.364,2.812,5.959,2.45,1.35,3.013,2.528,7.013,1.979,0.776,15.1,22.45,27.0,11.9,10.9,66.5,30.44,0.16,9.8,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.291666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0
4,15.423,1.496,7.621,4.72,2.058,1.415,3.271,15.602,2.416,5.798,3.878,7.089,2.732,5.769,2.573,1.355,3.085,2.557,6.922,1.953,0.789,21.0,27.0,32.0,11.0,21.9,84.0,29.91,0.650000000000002,12.7,19.6,0.0,25.3,0.0,0.0,0.0,0.516129032258065,0.451612903225806,0.451612903225806,0,0,0,0,0,0,0,0,0,0
5,2.425,0.693,0.911,2.274,0.624,0.426,1.111,2.413,0.814,0.858,1.735,0.786,1.034,1.044,0.006,0.566,1.13,0.8,2.765,0.772,0.37,19.0,24.8,30.0,11.0,15.1,71.0,30.28,0.489999999999998,12.7,17.3,0.0,26.5,0.0,0.0,0.0,0.04,0.64,0.24,0,0,0,1,0,0,0,0,0,0
6,1.467,0.408,0.414,1.631,0.378,0.225,0.567,1.374,0.583,0.268,1.164,0.298,0.642,0.53,0.0,0.347,0.635,0.487,1.856,0.475,0.274,15.1,18.0,28.9,13.8,10.9,74.0,30.33,0.0999999999999979,8.1,13.8,0.0,0.0,0.0,0.0,0.0,0.12,0.52,0.4,0,0,0,0,0,0,0,0,0,0
7,15.511,0.987,4.807,3.517,1.339,0.879,1.937,9.017,1.501,4.193,2.903,4.731,1.958,3.165,1.065,0.852,1.969,1.56,4.928,1.325,0.473,26.6,32.0,41.0,14.4,30.2,93.0,30.04,0.780000000000001,8.1,17.3,0.0,26.5,0.0,0.07,0.783783783783784,0.513513513513513,0.162162162162162,0.135135135135135,0,0,0,0,0,0,0,0,0,0
8,15.927,1.551,8.227,4.707,2.221,1.457,3.457,16.003,2.437,6.378,3.828,7.479,2.742,5.935,2.533,1.4,3.149,2.574,6.817,2.04,0.844,34.0,37.4,43.0,9.0,35.6,93.0,29.4,0.16,9.2,23.0,0.0,31.1,0.0,0.11,0.428571428571429,0.0,0.485714285714286,0.4,0,0,1,0,0,0,0,0,0,0
9,15.92,1.588,8.246,4.774,2.227,1.475,3.511,15.805,2.457,6.458,3.869,7.547,2.753,5.829,2.566,1.358,3.099,2.618,6.853,2.038,0.835,33.1,34.0,36.0,2.9,30.9,89.0,29.71,0.48,11.5,16.1,0.0,0.0,0.0,0.01,0.0,0.181818181818182,0.818181818181818,0.696969696969697,0,0,0,0,0,0,0,0,0,0
10,15.96,1.526,8.065,4.8,2.143,1.451,3.489,15.526,2.449,6.214,3.872,7.254,2.792,5.926,2.498,1.407,3.118,2.594,6.855,2.063,0.808,23.0,28.9,33.1,10.1,21.0,80.0,30.095,0.23,11.5,16.1,0.0,0.0,0.0,0.0,0.0,0.115384615384615,0.730769230769231,0.192307692307692,0,0,1,0,0,0,0,0,0,0
11,14.9,1.552,7.78,4.627,2.082,1.39,3.179,15.512,2.446,5.593,3.767,7.042,2.656,5.775,2.431,1.222,2.771,2.202,6.497,1.84,0.784,0.0,9.0,21.2,21.2,-1.45,66.5,30.32,0.279999999999998,12.7,19.6,0.0,23.0,0.0,0.0,0.0,0.115384615384615,0.384615384615385,0.0769230769230769,0,0,0,0,0,0,0,0,0,0
12,2.477,0.663,0.914,2.28,0.643,0.402,1.037,2.32,0.78,0.858,1.745,0.738,1.015,1.066,0.01,0.563,1.158,0.782,2.692,0.739,0.361,10.0,17.1,30.0,20.0,12.0,75.0,30.23,0.289999999999999,11.5,15.0,0.0,26.5,0.0,0.0,0.0,0.185185185185185,0.814814814814815,0.592592592592593,0,0,1,0,0,0,0,0,0,0
13,1.556,0.411,0.454,1.639,0.337,0.212,0.562,1.491,0.579,0.267,1.178,0.34,0.626,0.671,0.0,0.323,0.675,0.506,1.945,0.49,0.263,30.0,34.0,36.0,6.0,30.0,82.0,29.97,0.149999999999999,6.9,12.7,0.0,0.0,0.0,0.01,0.0,0.206896551724138,0.793103448275862,0.724137931034483,0,0,0,0,0,0,0,0,0,0
14,15.562,1.584,8.258,4.637,2.15,1.453,3.268,15.732,2.372,6.179,3.811,7.461,2.665,5.624,2.503,1.358,3.089,2.446,6.708,1.933,0.762,28.0,30.0,34.0,6.0,25.0,82.0,30.01,0.119999999999997,9.2,16.1,0.0,18.4,0.0,0.0,0.0,0.314285714285714,0.685714285714286,0.314285714285714,0,0,1,0,0,0,0,0,0,0
15,15.796,1.581,8.151,4.695,2.166,1.454,3.456,15.762,2.357,6.234,3.822,7.469,2.838,5.887,2.602,1.411,3.174,2.561,6.878,2.027,0.803,30.0,32.0,37.9,7.9,28.0,85.0,29.94,0.34,8.1,11.5,0.0,0.0,0.0,0.04,0.0666666666666667,0.266666666666667,0.7,0.333333333333333,0,0,1,0,0,0,0,0,0,0
